id,player_api_id,player_name,birthday,height
65,302985,Abel Khaled,1992-11-09 00:00:00,180.34
66,240556,Abel Tamata,1990-12-05 00:00:00,182.88
67,40938,Abel,1978-12-22 00:00:00,177.8
68,37422,Abella Perez Damia,1982-04-15 00:00:00,187.96
69,114503,Abiola Dauda,1988-02-03 00:00:00,180.34
70,27277,Abou Diaby,1986-05-11 00:00:00,193.04
71,181344,Aboubacar Tandia,1983-10-05 00:00:00,193.04
72,581141,Aboubakar Kamara,1995-03-07 00:00:00,177.8
73,80592,Aboubakar Oumarou,1987-04-01 00:00:00,182.88
74,165706,Abraham Gonzalez,1985-07-16 00:00:00,177.8
75,210453,Abraham Guie Gneki,1986-07-25 00:00:00,180.34
76,208635,Abraham Kudemor,1985-02-25 00:00:00,182.88
77,213695,Abraham Minero,1986-02-22 00:00:00,175.26
78,33715,Abraham Paz Cruz,1979-03-14 00:00:00,177.8
79,41489,Achille Coser,1982-07-14 00:00:00,185.42
80,25571,Achille Emana,1982-06-05 00:00:00,180.34
81,660145,Achille Vaarnold,1996-01-26 00:00:00,175.26
82,45960,Achmed Ahahaoui,1983-12-06 00:00:00,177.8
83,293235,Achraf Lazaar,1992-09-22 00:00:00,182.88
84,34487,Aco Stojkov,1983-04-29 00:00:00,177.8
85,26331,Adailton,1983-04-14 00:00:00,190.5
86,41749,Adailton,1977-01-24 00:00:00,175.26
87,495841,Adalberto Penaranda,1997-05-31 00:00:00,182.88
88,519835,Adam Armstrong,1997-02-10 00:00:00,172.72
89,68840,Adam Banas,1982-12-25 00:00:00,185.42
90,27534,Adam Bodzek,1985-09-07 00:00:00,182.88
91,157303,Adam Bogdan,1987-09-27 00:00:00,193.04
92,563198,Adam Brown,1995-06-09 00:00:00,177.8
93,557396,Adam Buksa,1996-07-12 00:00:00,190.5
94,365666,Adam Campbell,1995-01-01 00:00:00,170.18
95,180197,Adam Collin,1984-12-09 00:00:00,190.5
96,310346,Adam Cummins,1993-03-03 00:00:00,187.96
97,68962,Adam Danch,1987-12-15 00:00:00,182.88
98,429870,Adam Deja,1993-06-24 00:00:00,185.42
99,23133,Adam Drury,1978-08-29 00:00:00,180.34
100,420209,Adam Drury,1993-09-09 00:00:00,177.8
