id,season,date,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
30,2008/2009,2008-11-15 00:00:00,492584,10000,9993,2,2
31,2008/2009,2008-11-16 00:00:00,492585,9994,9985,1,1
32,2008/2009,2008-11-15 00:00:00,492586,7947,8571,1,0
33,2008/2009,2008-11-15 00:00:00,492587,8203,9998,0,0
34,2008/2009,2008-11-15 00:00:00,492588,9996,9986,2,1
35,2008/2009,2008-11-15 00:00:00,492589,4049,9984,3,0
36,2008/2009,2008-11-14 00:00:00,492590,10001,9991,3,2
37,2008/2009,2008-11-22 00:00:00,492591,8635,10001,2,0
38,2008/2009,2008-11-22 00:00:00,492592,9985,9996,3,1
39,2008/2009,2008-11-22 00:00:00,492622,9998,8342,1,2
40,2008/2009,2008-11-22 00:00:00,492623,9986,4049,3,2
41,2008/2009,2008-11-22 00:00:00,492624,9984,8203,2,1
42,2008/2009,2008-11-23 00:00:00,492628,9991,9987,2,3
43,2008/2009,2008-11-22 00:00:00,492631,9999,7947,2,2
44,2008/2009,2008-12-16 00:00:00,492636,8571,10000,1,0
45,2008/2009,2008-11-22 00:00:00,492638,9993,9994,0,2
46,2008/2009,2008-11-30 00:00:00,492649,8342,9993,3,0
47,2008/2009,2008-11-29 00:00:00,492651,9987,9984,3,2
48,2008/2009,2008-11-29 00:00:00,492658,10000,9986,4,2
49,2008/2009,2008-11-29 00:00:00,492662,9991,9999,4,0
50,2008/2009,2008-11-28 00:00:00,492664,7947,8635,0,2
51,2008/2009,2008-11-30 00:00:00,492666,8203,9985,0,0
52,2008/2009,2008-11-29 00:00:00,492670,9996,9994,2,0
53,2008/2009,2008-11-29 00:00:00,492674,4049,8571,3,3
54,2008/2009,2008-11-29 00:00:00,492677,10001,9998,2,1
55,2008/2009,2008-12-06 00:00:00,492683,8635,4049,5,1
56,2008/2009,2008-12-06 00:00:00,492686,9985,10000,1,2
57,2008/2009,2008-12-06 00:00:00,492689,9998,7947,5,2
58,2008/2009,2008-12-06 00:00:00,492692,9986,8203,1,2
59,2008/2009,2008-12-05 00:00:00,492693,9984,9991,3,1
60,2008/2009,2008-12-07 00:00:00,492696,9994,8342,2,0
61,2008/2009,2008-12-06 00:00:00,492699,9999,10001,1,0
62,2008/2009,2008-12-07 00:00:00,492702,8571,9987,3,1
63,2008/2009,2008-12-06 00:00:00,492706,9993,9996,3,0
64,2008/2009,2008-12-14 00:00:00,492709,8342,9985,1,4
65,2008/2009,2008-12-13 00:00:00,492713,9987,9986,1,0
66,2008/2009,2008-12-13 00:00:00,492717,10000,9996,2,1
67,2008/2009,2008-12-13 00:00:00,492720,9991,8571,1,1
68,2008/2009,2008-12-13 00:00:00,492722,7947,9994,1,1
69,2008/2009,2008-12-12 00:00:00,492724,8203,9993,2,1
70,2008/2009,2008-12-14 00:00:00,492728,9999,8635,0,3
71,2008/2009,2008-12-13 00:00:00,492734,4049,9998,2,1
72,2008/2009,2008-12-13 00:00:00,492735,10001,9984,1,2
73,2008/2009,2008-12-19 00:00:00,492742,8635,9987,2,0
74,2008/2009,2008-12-21 00:00:00,492745,9985,9991,2,1
75,2008/2009,2008-12-20 00:00:00,492746,9998,10000,2,2
76,2008/2009,2008-12-20 00:00:00,492749,9986,7947,2,0
77,2008/2009,2008-12-20 00:00:00,492753,9984,9999,4,3
78,2008/2009,2008-12-20 00:00:00,492757,9994,8203,2,2
79,2008/2009,2008-12-20 00:00:00,492758,9996,8342,5,1
80,2008/2009,2008-12-21 00:00:00,492760,8571,10001,0,0
81,2008/2009,2008-12-20 00:00:00,492763,9993,4049,2,0
82,2008/2009,2009-01-18 00:00:00,492769,9993,9987,4,1
83,2008/2009,2009-01-17 00:00:00,492772,9994,10000,2,1
84,2008/2009,2009-01-16 00:00:00,492775,8635,9984,1,2
85,2008/2009,2009-01-17 00:00:00,492779,9998,9991,1,2
86,2008/2009,2009-01-17 00:00:00,492781,9985,7947,3,2
87,2008/2009,2009-01-17 00:00:00,492782,8342,8203,3,0
88,2008/2009,2009-01-17 00:00:00,492785,8571,9999,2,1
89,2008/2009,2009-01-17 00:00:00,492789,9996,4049,1,1
90,2008/2009,2009-01-18 00:00:00,492792,9986,10001,1,2
91,2008/2009,2009-01-25 00:00:00,492798,10000,8342,3,1
92,2008/2009,2009-02-18 00:00:00,492801,9991,8635,1,2
93,2008/2009,2009-01-25 00:00:00,492804,10001,9985,0,1
94,2008/2009,2009-01-24 00:00:00,492805,9987,9998,2,0
95,2008/2009,2009-01-24 00:00:00,492807,9999,9986,3,1
96,2008/2009,2009-01-24 00:00:00,492810,4049,9994,2,1
97,2008/2009,2009-01-24 00:00:00,492814,8203,9996,2,2
98,2008/2009,2009-01-24 00:00:00,492817,9984,8571,0,1
99,2008/2009,2009-01-24 00:00:00,492819,7947,9993,0,1
100,2008/2009,2008-10-29 00:00:00,492482,8342,10000,2,0
